index,starting_n,approx_digits,n_over_1e9
86,16403912261,471,16.403912
87,16420640272,471,16.420640
88,16465113457,471,16.465113
89,16721655751,471,16.721656
90,16926589689,472,16.926590
91,16965162924,472,16.965163
92,17006306294,472,17.006306
93,17284352567,472,17.284353
94,17285073260,472,17.285073
95,17750994837,473,17.750995
96,18208354667,473,18.208355
97,18225771320,473,18.225771
98,18477363590,473,18.477364
99,18538769744,474,18.538770
100,18871494317,474,18.871494
101,19348240392,474,19.348240
102,19440564268,474,19.440564
103,19812318421,475,19.812318
104,20023217629,475,20.023218
105,20047573298,475,20.047573
106,21462726584,476,21.462727
107,21477992219,476,21.477992
108,21703091509,477,21.703092
109,21796611324,477,21.796611
110,22104809340,477,22.104809
111,22123968840,477,22.123969
112,22153612552,477,22.153613
113,23273903633,478,23.273904
114,23382475736,478,23.382476
115,24264182155,479,24.264182
116,24928130999,479,24.928131
117,25591019963,480,25.591020
118,25595447607,480,25.595448
119,26077403187,480,26.077403
120,26840589431,481,26.840589
121,27037138706,481,27.037139
122,27172737340,481,27.172737
123,27306543134,481,27.306543
124,27537632971,481,27.537633
125,27654812028,481,27.654812
126,27667841673,482,27.667842
127,28117028407,482,28.117028
128,28275508576,482,28.275509
129,28448365863,482,28.448366
130,28769102372,482,28.769102
131,28985923270,482,28.985923
132,29007013739,482,29.007014
133,29205694065,483,29.205694
134,29248829804,483,29.248830
135,29359522327,483,29.359522
136,29407930965,483,29.407931
137,29707259861,483,29.707260
138,30321866727,483,30.321867
139,30338138635,483,30.338139
140,31163620475,484,31.163620
141,31255160676,484,31.255161
142,31839663584,484,31.839664
143,32159567458,485,32.159567
144,32187300408,485,32.187300
145,32723642176,485,32.723642
146,32770705129,485,32.770705
147,33050188714,485,33.050189
148,33278350647,485,33.278351
149,33546915533,485,33.546916
150,34053066127,486,34.053066
151,34339418543,486,34.339419
152,34509180003,486,34.509180
153,35050434232,486,35.050434
154,35676017721,487,35.676018
155,36106334454,487,36.106334
156,36659655626,487,36.659656
157,36663845068,487,36.663845
158,36983540565,487,36.983541
159,37045103764,487,37.045104
160,37225818192,487,37.225818
161,37264129419,487,37.264129
162,37610185301,488,37.610185
163,37687848168,488,37.687848
164,38060892826,488,38.060893
165,38140297758,488,38.140298
166,38906722779,488,38.906723
167,38935158196,488,38.935158
168,39469603024,489,39.469603
169,39512366073,489,39.512366
170,39819508101,489,39.819508
171,40188067115,489,40.188067
172,40951034954,489,40.951035
173,41262186068,489,41.262186
174,41461743319,490,41.461743
175,41531565219,490,41.531565
176,41605881299,490,41.605881
177,42331080598,490,42.331081
178,42440318042,490,42.440318
179,42958984490,490,42.958984
180,43059140292,490,43.059140
181,43384741442,490,43.384741
182,43521552810,491,43.521553
183,43590044530,491,43.590045
184,43919311018,491,43.919311
185,44321999898,491,44.322000
186,44358008590,491,44.358009
187,44475318446,491,44.475318
